id,label,:Sector,:SubSector,:Type,:Service,:TraMode
BLDDSLBIO,Blending Technology for Diesel and Biodiesel,BLD,,DSLBIO,,
BLDGASETH,Blending Technology for Gasoline and Ethanol,BLD,,GASETH,,
BLDJETABF,Blending Technology for JET fuel and Aviation Bio Fuels,BLD,,JETABF,,
CENH2DUMMY,Dummy technology for H2 production from CEN region,,,,,
CENTRADUM,Dummy technology for Transport electricity in the CEN region,,,,,
CENTRNSOU,Electricity import /Export technology between CEN to SOU ,,,,,
DEMELCCEN,Demand for ELC in CEN region,DEM,,,,
DEMELCNOR,Demand for ELC in NOR region,DEM,,,,
DEMELCSOU,Demand for ELC in SOU region,DEM,,,,
DEMELCVTE,Demand for ELC in VTE region,DEM,,,,
EXPECENTH,EDL Exports between  CEN and Thailand,PWR,EXP,,,
EXPECENVN,EDL Exports between  CEN and Vietnam,PWR,EXP,,,
EXPENORCN,EDL Exports between  NOR and China,PWR,EXP,,,
EXPENORMM,EDL Exports between  NOR and Myanmar,PWR,EXP,,,
EXPENORSG,EDL Exports between  NOR and Singapore,PWR,EXP,,,
EXPENORTH,EDL Exports between  NOR and Thailand,PWR,EXP,,,
EXPENORVN,EDL Exports between  NOR and Vietnam,PWR,EXP,,,
EXPESOUKH,EDL Exports between  SOU and Cambodia,PWR,EXP,,,
EXPESOUTH,EDL Exports between  SOU and Thailand,PWR,EXP,,,
EXPESOUVN,EDL Exports between  SOU and Vietnam,PWR,EXP,,,
EXPEVTETH,EDL Exports between  VTE and Thailand,PWR,EXP,,,
EXPIPPKH,IPPe Export to Cambodia,PWR,EXP,,,
EXPIPPTH,IPPe Export to Thailand,PWR,EXP,,,
EXPIPPVN,IPPe Export to Vietnam,PWR,EXP,,,
HDGCOM,Hydrogen compression &  Storage   & Liquefaction &   Transport,HDG,,,,
HDGEXPORT,Hydrogen Export technology,,,,,
IMPABF,Import of Aviation Biofuel (ABF),PFS,IMP,ABF,,
IMPAEF,Import of Aviation E2 fuel (AEF),PFS,IMP,AEF,,
IMPBDL,Import of Bio Diesel,PFS,IMP,BDL,,
IMPCOA,Import of Coal,PFS,IMP,COA,,
IMPDSL,Import of Diesel,PFS,IMP,DSL,,
IMPETH,Import of Ethanol,PFS,IMP,ETH,,
IMPGAS,Import of Gasoline,PFS,IMP,GAS,,
IMPH2,Import of H2,PFS,IMP,H2,,
IMPJET,Import of Jet Fuel,PFS,IMP,JET,,
MINBIO,Domestic Biomass Resource,PFS,MIN,BIO,,
MINCOA,Domestic Coal Resource,PFS,MIN,COA,,
MINHYD,Hydro Resource,PFS,MIN,HYD,,
MINSOL,Solar Resource,PFS,MIN,SOL,,
MINWND,Wind Resource,PFS,MIN,WND,,
NORH2DUMMY,NOR region ELC for H2 dummy technology,,,,,
NORTRADUM,NOR dummy for Transport ELC,,,,,
NORTRNCEN,NOR to CEN Trasnmission,PWR,INF,TRN,,
NORTRNVTE,NOR to VTE Transmission,PWR,INF,TRN,,
PWRBINNOR,Battery IN NOR Region,PWR,INF,,,
PWRBIO001CEN,Biomass power plant in CEN,PWR,GEN,BIO,,
PWRBIO002SOU,Biomass power plant in SOU,PWR,GEN,BIO,,
PWRBIO003CEN,Biomass power plant in CEN,PWR,GEN,BIO,,
PWRBIO004CEN,Biomass power plant in CEN,PWR,GEN,BIO,,
PWRBIO005CEN,Biomass power plant in CEN,PWR,GEN,BIO,,
PWRBIO006NOR,Biomass power plant in NOR,PWR,GEN,BIO,,
PWRBIO007SOU,Biomass power plant in SOU,PWR,GEN,BIO,,
PWRBOUNOR,Battery OUT in NOR,PWR,INF,,,
PWRBST000CEN,Backstop Technology in CEN,PWR,GEN,BKSTP,,
PWRBST000NOR,Backstop Technology in NOR,PWR,GEN,BKSTP,,
PWRBST000SOU,Backstop Technology in SOU,PWR,GEN,BKSTP,,
PWRBST000VTE,Backstop Technology in VTE,PWR,GEN,BKSTP,,
PWRCOA001NOR,Coal Power plant in NOR,PWR,GEN,COA,,
PWRCOA002SOU,Coal Power plant in SOU,PWR,GEN,COA,,
PWRCOA003NOR,Coal Power plant in NOR,PWR,GEN,COA,,
PWRCOA004CEN,Coal Power plant in CEN,PWR,GEN,COA,,
PWRCOA005SOU,Coal Power plant in SOU,PWR,GEN,COA,,
PWRCOA006NOR,Coal Power plant in NOR,PWR,GEN,COA,,
PWRDISTCEN,Distribution technology in CEN,PWR,INF,DST,,
PWRDISTNOR,Distribution technology in NOR,PWR,INF,DST,,
PWRDISTSOU,Distribution technology in SOU,PWR,INF,DST,,
PWRDISTVTE,Distribution technology in VTE,PWR,INF,DST,,
PWRHYD001NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD002SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD003CEN,Hydro Power plant in CEN,PWR,GEN,HYD,,
PWRHYD004SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD005NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD006NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD007SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD008NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD009CEN,Hydro Power plant in CEN,PWR,GEN,HYD,,
PWRHYD010NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD011NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD012NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD013CEN,Hydro Power plant in CEN,PWR,GEN,HYD,,
PWRHYD014NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD015SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD016SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD017NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD018NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD019SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD020NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD021NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD022NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD023NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD024NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD025NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD026NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD027NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD028NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD029NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD030SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD031SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD032NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD033NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD034NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD035SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD036NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD037SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD038NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD039SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD040NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD041SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD042SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD043NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD044NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD045NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD046CEN,Hydro Power plant in CEN,PWR,GEN,HYD,,
PWRHYD047NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD048NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD049NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD050NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD051CEN,Hydro Power plant in CEN,PWR,GEN,HYD,,
PWRHYD052NOR,Hydro Power plant in NOR,PWR,GEN,HYD,,
PWRHYD053SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
PWRHYD054SOU,Hydro Power plant in SOU,PWR,GEN,HYD,,
