Id,Description,:TechSector,Sub-sector,Tech type,Imported vs. domestic,Mode of transport,Service type
BLDDSLBIO,Blending Technology for Diesel and Biodiesel,FUBLEN,Fuel blending,Diesel and biodiesel,,,
BLDGASETH,Blending Technology for Gasoline and Ethanol,FUBLEN,Fuel blending,Gasoline and ethanol,,,
BLDJETABF,Blending Technology for JET fuel and Aviation Bio Fuels,FUBLEN,Fuel blending,Jet fuel and aviation biofuels,,,
CENH2DUMMY,Dummy technology for H2 production from CEN region,,,,,,
CENTRADUM,Dummy technology for Transport electricity in the CEN region,,,,,,
CENTRNSOU,Electricity import /Export technology between CEN to SOU ,EXP,Exports,,,,
DEMELCCEN,Demand for ELC in CEN region,DEM,Demand,,,,
DEMELCNOR,Demand for ELC in NOR region,DEM,Demand,,,,
DEMELCSOU,Demand for ELC in SOU region,DEM,Demand,,,,
DEMELCVTE,Demand for ELC in VTE region,DEM,Demand,,,,
EXPECENTH,EDL Exports between  CEN and Thailand,EXP,Exports,,,,
EXPECENVN,EDL Exports between  CEN and Vietnam,EXP,Exports,,,,
EXPENORCN,EDL Exports between  NOR and China,EXP,Exports,,,,
EXPENORMM,EDL Exports between  NOR and Myanmar,EXP,Exports,,,,
EXPENORSG,EDL Exports between  NOR and Singapore,EXP,Exports,,,,
EXPENORTH,EDL Exports between  NOR and Thailand,EXP,Exports,,,,
EXPENORVN,EDL Exports between  NOR and Vietnam,EXP,Exports,,,,
EXPESOUKH,EDL Exports between  SOU and Cambodia,EXP,Exports,,,,
EXPESOUTH,EDL Exports between  SOU and Thailand,EXP,Exports,,,,
EXPESOUVN,EDL Exports between  SOU and Vietnam,EXP,Exports,,,,
EXPEVTETH,EDL Exports between  VTE and Thailand,EXP,Exports,,,,
EXPIPPKH,IPPe Export to Cambodia,EXP,Exports,,,,
EXPIPPTH,IPPe Export to Thailand,EXP,Exports,,,,
EXPIPPVN,IPPe Export to Vietnam,EXP,Exports,,,,
HDGCOM,Hydrogen compression &  Storage   & Liquefaction &   Transport,HPROD,Hydrogen production,Compression &  Storage & Liquefaction & Transport,,,
HDGEXPORT,Hydrogen Export technology,EXP,Exports,Hydrogen,,,
IMPABF,Import of Aviation Biofuel (ABF),PFUSUP,Primary fuel supply,Aviation biofuel,Imported,,
IMPAEF,Import of Aviation E2 fuel (AEF),PFUSUP,Primary fuel supply,Aviation E2 fuel,Imported,,
IMPBDL,Import of Bio Diesel,PFUSUP,Primary fuel supply,Biodiesel,Imported,,
IMPCOA,Import of Coal,PFUSUP,Primary fuel supply,Coal,Imported,,
IMPDSL,Import of Diesel,PFUSUP,Primary fuel supply,Diesel,Imported,,
IMPETH,Import of Ethanol,PFUSUP,Primary fuel supply,Ethanol,Imported,,
IMPGAS,Import of Gasoline,PFUSUP,Primary fuel supply,Gasoline,Imported,,
IMPH2,Import of H2,PFUSUP,Primary fuel supply,H2,Imported,,
IMPJET,Import of Jet Fuel,PFUSUP,Primary fuel supply,Jet fuel,Imported,,
