YEAR,TECHNOLOGY:SubSector,VALUE
2021,MIN,27.29527027308
2022,MIN,27.295270273080003
2023,MIN,27.29527027308
2024,MIN,27.29603550222221
2025,MIN,46.13182582863558
2026,MIN,46.13182582863556
2027,MIN,46.13182582863557
2028,MIN,46.13182582863557
2029,MIN,46.13182582863555
2030,MIN,46.13182582863555
2031,MIN,46.13182582863557
2032,MIN,46.13182582863557
2033,MIN,46.13182582863555
2034,MIN,46.13182582863555
2035,MIN,46.131825828635556
2036,MIN,46.131825828635556
2037,MIN,46.131825828635556
2038,MIN,46.13182582863556
2039,MIN,44.81290723555555
2040,MIN,43.0399627911111
2041,MIN,40.61368065777777
2042,MIN,38.84073621333332
2043,MIN,37.070402879999996
2044,MIN,35.297458435555555
2045,MIN,31.00172222222222
2046,MIN,18.83655555555556
2047,MIN,17.6955
2048,MIN,16.55444444444445
2049,MIN,15.41077777777778
2050,MIN,14.26972222222222
2051,MIN,14.26972222222222
2052,MIN,14.26972222222222
2053,MIN,14.26972222222222
2054,MIN,14.26972222222222
2055,MIN,3.368333333333334
2021,IMP,1107.0666682835217
2022,IMP,1185.0824353308183
2023,IMP,1399.0100109741752
2024,IMP,1243.413402994918
2025,IMP,1292.1487603561984
2026,IMP,1286.4789704256514
2027,IMP,1287.6598353537354
2028,IMP,1268.771062906069
2029,IMP,1269.1594681214062
2030,IMP,1262.4227512162436
2031,IMP,1258.606693771401
2032,IMP,1286.2351821861948
2033,IMP,1317.2543577431284
2034,IMP,1344.591295131558
2035,IMP,1374.3254810042745
2036,IMP,1407.9047937303026
2037,IMP,1649.4657790002373
2038,IMP,1696.9132820672469
2039,IMP,1573.9782956327285
2040,IMP,1243.2283328238414
2041,IMP,1208.5787252519901
2042,IMP,1202.789207018125
2043,IMP,1195.1208689906127
2044,IMP,1188.8996434941275
2045,IMP,1197.685770968234
2046,IMP,1190.570229103995
2047,IMP,1203.7282675385388
2048,IMP,1200.6872657834865
2049,IMP,1212.5125169767368
2050,IMP,1228.6865243663271
2051,IMP,1220.460889616896
2052,IMP,1108.9886345240957
2053,IMP,946.7073716859289
2054,IMP,779.9437441162371
2055,IMP,821.7980083408322
