YEAR,TECHNOLOGY:Type,VALUE
2021,COA,23.621956993079973
2022,COA,23.62195699308
2023,COA,23.62195699308
2024,COA,23.621956993080005
2025,COA,56.32541182907999
2026,COA,65.13018813108
2027,COA,66.43192484565897
2028,COA,66.43192484565895
2029,COA,66.43192484565897
2030,COA,66.43192484565895
2031,COA,66.43192484565895
2032,COA,66.43192484565895
2033,COA,66.43192484565894
2034,COA,66.43192484565897
2035,COA,66.43192484565897
2036,COA,66.43192484565897
2037,COA,66.43192484565895
2038,COA,66.43192484565894
2039,COA,66.43192484565897
2040,COA,66.43192484565897
2041,COA,66.43192484565897
2042,COA,66.43192484565775
2043,COA,66.43192484565895
2044,COA,66.43192484565897
2045,COA,66.431924845659
2021,BIO,3.67331328
2022,BIO,3.67331328
2023,BIO,3.673313280000001
2024,BIO,3.67331328
2025,BIO,3.673313280000001
2026,BIO,3.67331328
2027,BIO,3.673313280000001
2028,BIO,3.67331328
2029,BIO,3.67331328
2030,BIO,3.67331328
2031,BIO,3.67331328
2032,BIO,3.67331328
2033,BIO,3.673313279999999
2034,BIO,3.67331328
2035,BIO,3.67331328
2036,BIO,3.67331328
2037,BIO,3.673313280000001
2038,BIO,3.673313280000001
2039,BIO,3.181351680000001
2040,BIO,3.18135168
2041,BIO,2.525402880000001
2042,BIO,2.525402880000001
2043,BIO,2.525402880000001
2044,BIO,2.525402880000001
2046,COA,601.1612506957897
2047,COA,601.1612506957896
2048,COA,601.1612506957897
2049,COA,601.1612506957897
2050,COA,601.1612506957897
2051,COA,601.1612506957897
2052,COA,601.1612506957897
2053,COA,601.1612506957899
2054,COA,601.1612506957899
2055,COA,141.92124661579
2021,GAS,234.48276115257576
2022,GAS,253.8643992271201
2023,GAS,251.96729329173613
2024,GAS,192.90628387760404
2025,GAS,168.78227011331393
2026,GAS,146.87765244306004
2027,GAS,123.96395066467502
2028,GAS,96.890167165572
2029,GAS,67.25831868993599
2030,GAS,34.98846712020001
2021,DSL,827.9169608210145
2022,DSL,916.4281014025528
2023,DSL,1136.5495909795843
2024,DSL,1033.7113448186697
2025,DSL,1105.7538179641738
2026,DSL,1181.6378434763983
2027,DSL,1248.7395025938877
2028,DSL,1323.2577361824185
2029,DSL,1414.3446962822995
2030,DSL,1496.4139852797143
2031,DSL,1571.1014924259534
2032,DSL,1648.5799600308717
2033,DSL,1713.6774275126504
2034,DSL,1810.205237785028
2035,DSL,1912.084026200172
2036,DSL,2006.9239392208635
2037,DSL,2039.4463448890467
2038,DSL,2015.758211175117
2039,DSL,1971.4960562686488
2040,DSL,1912.9409431858537
2041,DSL,1936.3703799113723
2042,DSL,1982.3175278384288
2043,DSL,2007.572849936621
2044,DSL,2023.4396711333827
2045,DSL,2010.8148028768187
2046,DSL,2021.5963579154063
2047,DSL,2109.0273876864585
2048,DSL,2199.6577083781926
2049,DSL,2292.983355488339
2050,DSL,2393.499529212675
2051,DSL,2495.340727915093
2052,DSL,2601.908395792046
2053,DSL,2713.281615582792
2054,DSL,2828.6130571417825
2055,DSL,2949.4019622487203
2021,ETH,4.737025477829812
2022,ETH,4.466571828480001
2023,ETH,3.927697073724002
2024,ETH,3.3994739271000007
2025,ETH,2.8819066239239994
2026,ETH,2.430657411160001
2027,ETH,1.9888248239100008
2028,ETH,1.5073778335170005
2029,ETH,1.014926005836
2030,ETH,0.5122167496560001
2021,BDL,16.725595168101307
2022,BDL,17.305211560116017
2023,BDL,17.920576561576777
2024,BDL,18.576032279789526
2025,BDL,19.245002364435365
2026,BDL,19.92383883798153
2027,BDL,20.403471853510585
2028,BDL,20.956823526830632
2029,BDL,21.71619087759713
2030,BDL,22.280123519690463
2031,BDL,22.68967602290838
2032,BDL,23.09760921599909
2033,BDL,23.29635442458053
2034,BDL,23.88095308229831
2035,BDL,24.482204055447003
2036,BDL,24.942705620174547
2037,BDL,24.605888655155333
2038,BDL,23.61109174100409
2039,BDL,22.421067916802432
2040,BDL,21.123759448169487
2041,BDL,20.762957458653425
2042,BDL,20.64039521032407
2043,BDL,20.29888222864444
2044,BDL,19.86781469755301
2045,BDL,19.17303282977775
2046,BDL,18.71815226171876
2047,BDL,18.96228123743857
2048,BDL,19.20366965761072
2049,BDL,19.43692433000906
2050,BDL,19.69833624880181
2051,BDL,19.93339795215596
2052,BDL,20.168906195461656
2053,BDL,20.40338137052396
2054,BDL,20.628774265807124
2055,BDL,20.85432343703238
2021,JET,22.610242511999992
2022,JET,23.895258026310007
2023,JET,25.180273540620004
2024,JET,26.465532931331992
2025,JET,27.750548445642
2026,JET,29.03556914328089
2027,JET,30.32059034477796
2028,JET,31.60561204812577
2029,JET,32.71877208514725
