YEAR,CostType,VALUE
2041,CAP,2778.521225985202
2042,CAP,2819.977975943773
2043,CAP,2849.2907122849747
2044,CAP,2720.650200655275
2045,CAP,2933.3129679277545
2046,CAP,2972.406791262719
2047,CAP,1688.1464394043785
2048,CAP,1974.2671327594785
2049,CAP,1688.4766153962432
2050,CAP,2108.3853527050205
2051,CAP,2405.113375204833
2052,CAP,4483.870002037801
2053,CAP,5495.16821979534
2054,CAP,6348.850474729371
2055,CAP,6286.381584336278
2040,CAP,5141.573169803654
2023,CAP,3708.2523739115286
2024,CAP,3863.8427366068217
2025,CAP,3916.9721714596485
2022,CAP,4480.940008957568
2026,CAP,1715.2115908654234
2027,CAP,1966.5040747653018
2028,CAP,1983.0126064420313
2029,CAP,1688.9529472521697
2030,CAP,2024.76298075839
2031,CAP,2053.567295543199
2032,CAP,691.7844232728236
2033,CAP,866.0087280408873
2034,CAP,899.0115704163526
2035,CAP,939.9980365329446
2036,CAP,847.6089151243424
2038,CAP,3675.3765069045203
2039,CAP,4351.5895924022725
2037,CAP,2455.855068456369
2021,CAP,9.273558974359329
2041,FIX,647.8048909062201
2042,FIX,658.4903153512465
2043,FIX,669.3194895930765
2044,FIX,679.3408523382624
2045,FIX,690.3894034931876
2046,FIX,701.4726585730717
2047,FIX,717.1806275609009
2048,FIX,727.9433633915095
2049,FIX,729.0537359152257
2050,FIX,740.7575927386738
2051,FIX,759.2337984616374
2052,FIX,762.6113795255604
2053,FIX,766.866966401071
2054,FIX,774.7735086122334
2055,FIX,806.4611887115975
2040,FIX,641.3211154984793
2021,FIX,756.6302112820513
2022,FIX,739.2766586151308
2023,FIX,744.0264937128184
2024,FIX,783.841090710878
2025,FIX,818.1655726729417
2026,FIX,795.9336498386073
2027,FIX,770.8433338003422
2028,FIX,746.0621676801628
2029,FIX,716.4159280790522
2030,FIX,692.1980431592817
2031,FIX,668.4160755647429
2032,FIX,676.0832147902344
2033,FIX,687.1391471689748
2034,FIX,698.7124275402734
2035,FIX,710.8838136586154
2036,FIX,723.4452380544891
2037,FIX,715.2554498455552
2038,FIX,691.6506847725691
2039,FIX,668.7979237591092
