YEAR,CostType,VALUE
2022,CAP,2091.2084268009085
2023,CAP,2216.9994645359993
2024,CAP,3036.205009938208
2025,CAP,6416.190582997091
2038,CAP,1337.7119722025586
2039,CAP,1917.3034394803778
2044,CAP,2712.0423847552984
2045,CAP,2964.677333526211
2046,CAP,3612.885439303386
2047,CAP,3638.181639545431
2048,CAP,3734.5863451784126
2049,CAP,4002.2631782510643
2027,CAP,1915.6896565202753
2021,CAP,1943.6717200000003
2050,CAP,6283.265802353017
2026,CAP,257.40314738035363
2030,CAP,613.8021215253864
2041,CAP,1836.248620065096
2031,CAP,1553.6188698792926
2028,CAP,113.42644478638725
2029,CAP,110.86708579189755
2032,CAP,909.3892654250986
2040,CAP,1553.342949759761
2042,CAP,1391.9402052443756
2043,CAP,2808.3342210756823
2033,CAP,962.4001169887482
2034,CAP,1047.8786415341995
2035,CAP,1065.923119534205
2036,CAP,1183.942993219099
2037,CAP,1429.576457863413
2021,FIX,508.01135800000026
2022,FIX,541.4941243135793
2023,FIX,576.6602008330933
2024,FIX,641.4026514440515
2025,FIX,807.175687384262
2026,FIX,807.7503415219047
2027,FIX,852.3348299070694
2028,FIX,850.1892155347826
2029,FIX,847.8279683998865
2030,FIX,853.3758448121753
2031,FIX,876.5535246096069
2032,FIX,889.3915895973615
2033,FIX,903.1698866334171
2034,FIX,918.1494289485144
2035,FIX,933.8090077788586
2036,FIX,952.2945576184638
2037,FIX,974.7697635627206
2038,FIX,995.615350205667
2039,FIX,1027.7764723517719
2040,FIX,1053.083965000087
2041,FIX,1085.1141406365464
2042,FIX,1108.3609005373655
2043,FIX,1155.6015728295415
2044,FIX,1201.3512132522762
2045,FIX,1249.0352780727649
2046,FIX,1194.3458753991094
2047,FIX,1254.8019965512387
2048,FIX,1318.1798214253536
2049,FIX,1389.0029794790853
2050,FIX,1500.6644191597343
