YEAR,TECHNOLOGY:Type,VALUE
2021,HYD,15.6228
2022,HYD,12.972000000000001
2023,HYD,2.9046000000000003
2023,SOL,0.3349
2024,HYD,7.820799999999999
2024,ALK,0.0175636935509856
2024,PEM,0.0126269083636703
2025,COA,43.160000000000004
2025,HYD,22.710400000000003
2025,SOL,4.010379368865519
2025,PEM,0.0301857371705513
2026,COA,11.62
2026,HYD,8.93
2026,PEM,0.0102986632699528
2027,COA,1.717951723540287
2027,SOL,3.9794294025345383
2027,PEM,0.0110283748856792
2028,SOL,1.8727721114333695
2028,PEM,0.0117921397101395
2029,HYD,17.37684
2029,SOL,18.929564103060162
2029,PEM,0.0126191462079629
2030,SOL,78.79999999999998
2030,PEM,0.0135045296350443
2031,HYD,2.7297599999999997
2031,SOL,78.79999999999998
2031,PEM,0.0143655893416015
2032,HYD,2.7297599999999997
2032,SOL,64.5372
2032,PEM,0.0361147038030538
2033,HYD,2.7297599999999997
2033,SOL,29.549999999999997
2033,PEM,0.0612069192777522
2034,HYD,2.7297599999999997
2034,SOL,19.7
2034,PEM,0.0629346569570505
2035,HYD,2.7297599999999997
2035,SOL,6.766355014106401
2035,PEM,0.0931057681263002
2036,HYD,10.394519999999998
2036,PEM,0.1302717164736499
2037,HYD,10.394519999999998
2037,PEM,0.0111330500909838
2038,HYD,12.287679999999998
2038,PEM,0.1455309938352111
2039,HYD,12.287679999999998
2039,PEM,0.1476467902106056
2040,HYD,12.287679999999998
2040,PEM,0.1694609784439734
2041,HYD,9.55792
2041,WND,5.925000000000001
2041,SOE,0.1149104573487811
2042,HYD,9.55792
2042,WND,5.925000000000001
2042,SOE,0.1297820606903746
2043,HYD,9.55792
2043,WND,5.925000000000001
2043,SOE,0.1320956827902581
2044,HYD,9.55792
2044,WND,5.925000000000001
2044,SOE,0.1355764376060019
2045,HYD,9.55792
2045,WND,7.160592756532435
2045,SOE,0.1392738535994536
2046,HYD,9.55792
2046,WND,7.120803047810749
2046,SOE,0.1421186457449278
2047,HYD,9.557919999999998
2047,WND,7.6925423294959305
2047,SOE,0.0611515061664781
2048,HYD,7.66476
2048,SOL,0.334899999999998
2048,WND,9.863061866160885
2048,SOE,0.0631094700585456
2049,HYD,7.66476
2049,WND,11.850000000000001
2049,SOE,0.077785328273437
2050,HYD,7.66476
2050,SOL,4.010379368865519
2050,WND,11.850000000000001
2050,SOE,1.3209028032272916
2051,HYD,7.66476
2051,WND,11.850000000000001
2051,SOE,0.0698928193266162
2052,HYD,7.66476
2052,SOL,3.9794294025345387
2052,WND,5.925000000000001
2052,SOE,0.0734036073475426
2053,HYD,7.66476
2053,SOL,1.8727721114333695
2053,WND,5.925000000000001
2053,SOE,0.0762397858040892
2054,HYD,7.66476
2054,SOL,18.929564103060162
2054,WND,5.925000000000001
2054,SOE,0.0783457672652004
2055,HYD,7.5951999999999975
2055,SOL,78.79999999999998
2055,SOE,0.0848053496879195
