EMISSION:EmissionSubType,YEAR,VALUE
Power,2021,9.04670693352
Power,2022,9.04670693352
Power,2023,9.046706933520005
Power,2024,9.047
Power,2025,16.260706933520005
Power,2026,16.260706933519995
Power,2027,16.260706933519998
Power,2028,16.260706933520012
Power,2029,16.26070693352001
Power,2030,16.26070693352
Power,2031,16.260706933519998
Power,2032,16.260706933519998
Power,2033,16.260706933519995
Power,2034,16.260706933519998
Power,2035,16.26070693352
Power,2036,16.260706933519998
Power,2037,16.260706933519998
Power,2038,16.260706933520005
Power,2039,15.944
Power,2040,15.265
Power,2041,14.586999999999996
Power,2042,13.907999999999998
Power,2043,13.230000000000002
Power,2044,12.551000000000004
Power,2045,11.873
Power,2046,7.214
Power,2047,6.777
Power,2048,6.339999999999999
Power,2049,5.901999999999999
Power,2050,5.465
Power,2051,5.464999999999999
Power,2052,5.464999999999998
Power,2053,5.464999999999999
Power,2054,5.464999999999998
Power,2055,1.29
Transport,2021,2.357982846120257
Transport,2022,2.3620374400673896
Transport,2023,2.4334154457098696
Transport,2024,2.442533653074658
Transport,2025,2.4467003492780695
Transport,2026,2.663584780384947
Transport,2027,2.5560320445443003
Transport,2028,2.512245889153629
Transport,2029,2.43224271389529
Transport,2030,2.5613050596308096
Transport,2031,2.487269446517177
Transport,2032,2.499860158887172
Transport,2033,2.573948857857566
Transport,2034,2.5750000000000006
Transport,2035,2.5090000000000017
Transport,2037,2.3360000000000003
Transport,2036,2.4340000000000006
Transport,2038,2.2310000000000003
Transport,2039,2.063344233564143
Transport,2040,1.8270094085383717
Transport,2041,1.6162066110919988
Transport,2042,1.404472558113455
Transport,2043,1.1914437397455921
Transport,2044,1.0132949012054924
Transport,2045,0.8002000891863741
Transport,2046,0.584977101774949
Transport,2047,0.5327689227544793
Transport,2048,0.4851489933345814
Transport,2049,0.2659999999999998
