TECHNOLOGY:Sector,YEAR,VALUE
PWR,2021,10.981000000000003
PWR,2022,10.981
PWR,2023,10.981000000000003
PWR,2024,13.340849069189938
PWR,2025,31.04326730918994
PWR,2026,31.04326730918995
PWR,2027,31.043267309189936
PWR,2028,31.04326730918994
PWR,2029,31.04326730918994
PWR,2030,31.04326730918994
PWR,2031,31.04326730918994
PWR,2032,31.043267309189943
PWR,2033,31.04326730918994
PWR,2034,31.043267309189947
PWR,2035,31.04326730918994
PWR,2036,31.04326730918994
PWR,2037,31.04326730918994
PWR,2038,31.043267309191002
PWR,2039,30.992
PWR,2040,30.484
PWR,2041,29.976
PWR,2042,29.468
PWR,2043,28.96
PWR,2044,28.452
PWR,2045,27.94400000000001
PWR,2046,19.529
PWR,2047,19.167
PWR,2048,18.806
PWR,2049,18.444
PWR,2050,18.082
TRA,2021,6.190352
TRA,2022,6.511004
TRA,2023,6.812821000000004
TRA,2024,6.971000000000003
TRA,2025,7.142
TRA,2026,7.1240079151541105
TRA,2027,7.099246871404111
TRA,2028,7.067554786558222
TRA,2029,7.03672374280822
TRA,2030,7.04967269905822
TRA,2031,7.009147570462331
TRA,2032,7.005398485616441
TRA,2033,6.916451441866441
TRA,2034,6.8055583981164425
TRA,2035,6.731905313270548
TRA,2036,6.537470269520548
TRA,2037,6.37096718467466
TRA,2038,6.195607140924658
TRA,2039,6.045354056078769
TRA,2040,5.915083012328762
TRA,2041,5.765386927482878
TRA,2042,5.482738883732878
TRA,2043,5.240254168749998
TRA,2044,5.119348124999998
TRA,2045,5.00067208125
TRA,2046,4.918631833749998
TRA,2047,4.651371869999999
TRA,2048,4.38234682625
TRA,2049,4.123479862500002
TRA,2050,3.8707110000000027
