YEAR,CostType,VALUE
2022,CAP,6108.204637969209
2023,CAP,6381.832890205399
2024,CAP,8143.420509436143
2025,CAP,12138.430472795477
2038,CAP,5075.832928307937
2039,CAP,5871.442931285632
2043,CAP,6625.514377619651
2044,CAP,6085.955643150675
2045,CAP,6192.351552098324
2046,CAP,6473.560969764793
2047,CAP,6787.195792783621
2048,CAP,6920.908940368931
2049,CAP,7350.581392515729
2027,CAP,5679.237365555771
2021,CAP,2692.3374587102876
2050,CAP,9730.214633618582
2026,CAP,3927.7964348079186
2030,CAP,4150.314196444335
2041,CAP,5203.999548358682
2031,CAP,5512.413591233993
2028,CAP,3660.3689309584865
2029,CAP,3692.8123683456074
2032,CAP,4966.733463587733
2040,CAP,5448.992300593418
2042,CAP,5496.555436434848
2033,CAP,4956.390489620243
2034,CAP,5013.955585324309
2035,CAP,4948.522370621932
2036,CAP,5048.188383047341
2037,CAP,5212.674396328754
2021,FIX,1623.0366880000001
2022,FIX,1714.6574183135795
2023,FIX,1811.3215352653892
2024,FIX,1939.0738406343473
2025,FIX,2178.01488578908
2026,FIX,2127.2328447060436
2027,FIX,2148.673353174191
2028,FIX,2140.1946206837315
2029,FIX,2143.605225392156
2030,FIX,2161.089745995287
2031,FIX,2199.572115623379
2032,FIX,2228.90316168921
2033,FIX,2261.1015778627007
2034,FIX,2296.287451701535
2035,FIX,2332.1225257295746
2036,FIX,2371.2041976709897
2037,FIX,2414.603591271441
2038,FIX,2456.260847543941
2039,FIX,2513.310224968965
2040,FIX,2562.7894411760353
2041,FIX,2618.3696789923947
2042,FIX,2663.500112296327
2043,FIX,2731.530106302307
2044,FIX,2801.423357900652
2045,FIX,2874.677062921345
2046,FIX,2844.3624228332524
2047,FIX,2933.176067792117
2048,FIX,3021.7426376019275
2049,FIX,3117.3560873544147
2050,FIX,3253.900374493773
2021,VAR,1253.556295237306
2022,VAR,1375.0040207961006
2023,VAR,1757.8036506144542
2024,VAR,898.0728057071906
2025,VAR,-206.5864607168712
2026,VAR,-135.59275398706495
2027,VAR,-394.5008484697669
2028,VAR,-309.40264565773504
2029,VAR,-212.06307119396604
2030,VAR,-164.8406554877715
2031,VAR,-248.28909100273108
2032,VAR,-256.9947810845557
2033,VAR,-263.16934997417144
2034,VAR,-266.75342060743816
2035,VAR,-265.419821129195
2036,VAR,-270.3287369422773
2037,VAR,-290.79088329556635
2038,VAR,-289.8924298690024
2039,VAR,-370.71426732059354
2040,VAR,-405.91690592934515
2041,VAR,-446.8229185155094
2042,VAR,548.36206246038
2043,VAR,303.44713222593737
2044,VAR,173.69540352094762
2045,VAR,44.028703834800865
2046,VAR,188.86043269133097
2047,VAR,26.66965387105309
2048,VAR,-139.16084792441043
2049,VAR,-332.75817666926685
2050,VAR,-789.7533769640148
