YEAR,TECHNOLOGY:Type,VALUE
2021,COA,36.18682773408001
2022,COA,36.186827734080005
2023,COA,36.186827734080005
2024,COA,54.950747734080004
2025,COA,124.64530773408
2026,COA,124.64530773408
2027,COA,142.9723092971481
2028,COA,142.97230929714806
2029,COA,142.97230929715275
2030,COA,142.97230929714806
2031,COA,142.9723092971481
2032,COA,142.97230929714812
2033,COA,142.97230929714806
2034,COA,142.97230929714806
2035,COA,142.97230929714806
2036,COA,142.97230929714806
2037,COA,142.97230929714806
2038,COA,142.97230929714806
2039,COA,142.97230929714806
2040,COA,142.97230929714806
2041,COA,142.97230929714806
2042,COA,142.97230929714806
2043,COA,142.97230929714806
2044,COA,142.97230929714806
2045,COA,142.97230929714806
2021,BIO,2.2958208
2022,BIO,2.252174976
2023,BIO,2.252174976
2024,BIO,2.252174976
2025,BIO,2.252174976
2026,BIO,2.252174976
2027,BIO,2.2958208
2028,BIO,2.2958208000000004
2029,BIO,2.2958208
2030,BIO,2.2958208000000004
2031,BIO,2.2958208
2032,BIO,2.2958208
2033,BIO,2.2958208000000004
2034,BIO,2.2958208
2035,BIO,2.822722844887185
2036,BIO,5.077546844887185
2037,BIO,7.332370844887184
2038,BIO,9.587194844887186
2039,BIO,11.534542844887184
2040,BIO,13.789366844887187
2021,SOL,0.2940636572063998
2022,SOL,0.2940636572063996
2023,SOL,0.2940636572063997
2024,SOL,0.2940636572063996
2025,SOL,0.2940636572063998
2026,SOL,0.2940636572063994
2027,SOL,1.9446168777740611
2028,SOL,2.4908129316752925
2029,SOL,3.0362719856732965
2030,SOL,6.099857029841484
2031,SOL,7.291762546577516
2032,SOL,7.64762495164264
2033,SOL,7.960795418495101
2034,SOL,8.424768072849346
2035,SOL,9.217372700920944
2036,SOL,10.67247147314895
2037,SOL,12.177033283400135
2038,SOL,14.026331548460279
2039,SOL,15.531262756460254
2040,SOL,18.71754876959829
2041,SOL,22.7238402946168
2042,SOL,25.12325472470493
2043,SOL,34.08634527381182
2046,COA,106.78548156306807
2047,COA,106.78548156306807
2048,COA,106.78548156306807
2049,COA,106.78548156306807
2050,COA,106.78548156306806
2021,HYD,82.59606572940562
2022,HYD,96.1278091170536
2023,HYD,109.07057481574161
2024,HYD,129.865180967482
2025,HYD,133.158841173562
2026,HYD,134.62064830316197
2027,HYD,134.62064830316197
2028,HYD,134.620648303162
2029,HYD,134.620648303162
2030,HYD,135.411351692602
2031,HYD,143.72890284265233
2032,HYD,148.5268668434616
2033,HYD,153.6548144807163
2034,HYD,159.12920974987406
2035,HYD,164.23660489445302
2036,HYD,168.57026160254597
2037,HYD,173.7110040135384
2038,HYD,178.66129589306829
2039,HYD,185.49538723736924
2040,HYD,189.82920930162533
2041,HYD,193.63382607917225
2042,HYD,198.0011865201714
2043,HYD,204.38475016120833
2044,HYD,213.74078244660524
2045,HYD,220.81778908006208
2046,HYD,233.04929018596692
2047,HYD,245.47368013267905
2048,HYD,254.76061682815822
2049,HYD,262.16971409737044
2050,HYD,266.36597754075234
2041,BIO,15.634222844887187
2042,BIO,17.889046844887183
2043,BIO,20.143870844887182
2044,BIO,22.39869484488719
2044,SOL,37.294259462513836
2045,SOL,44.56056787377183
2046,SOL,51.59702199762456
2047,SOL,58.365320449549344
2048,SOL,68.90545420162604
2049,SOL,82.26763372821875
2050,SOL,118.0282379647008
2039,WND,1.6565828796765347
2040,WND,2.6236676303657327
2041,WND,4.2643727887389336
2042,WND,4.614013115588776
2043,WND,5.621158102544266
2044,WND,6.927528664369207
2045,WND,8.990535657399082
2046,WND,11.492018692793788
2047,WND,13.86570355986508
2048,WND,17.344405726851775
2049,WND,22.207409292705307
2050,WND,29.197208290474777
2045,BIO,23.075142044887187
2046,BIO,23.265683999999993
2047,BIO,23.265683999999993
2048,BIO,23.265683999999993
2049,BIO,23.26568399999999
2050,BIO,23.265683999999993
