YEAR,TECHNOLOGY:Type,VALUE
2021,COA,1.878
2022,COA,1.878
2023,COA,1.878
2024,COA,2.578
2025,COA,5.178
2026,COA,5.178
2027,COA,5.861700479118841
2028,COA,5.861700479118841
2029,COA,5.861700479118841
2030,COA,5.861700479118841
2031,COA,5.861700479118841
2032,COA,5.861700479118841
2033,COA,5.861700479118841
2034,COA,5.861700479118841
2035,COA,5.861700479118841
2036,COA,5.861700479118841
2037,COA,5.861700479118841
2038,COA,5.861700479118841
2039,COA,5.861700479118841
2040,COA,5.861700479118841
2041,COA,5.861700479118841
2042,COA,5.861700479118841
2043,COA,5.861700479118841
2044,COA,5.861700479118841
2045,COA,5.861700479118841
2021,BIO,0.1119999999999998
2022,BIO,0.1119999999999998
2023,BIO,0.1119999999999998
2024,BIO,0.1119999999999998
2025,BIO,0.1119999999999998
2026,BIO,0.1119999999999998
2027,BIO,0.1119999999999998
2028,BIO,0.1119999999999998
2029,BIO,0.1119999999999998
2030,BIO,0.1119999999999998
2031,BIO,0.1119999999999998
2032,BIO,0.1119999999999998
2033,BIO,0.1119999999999998
2034,BIO,0.1119999999999998
2035,BIO,0.14700000000000019
2036,BIO,0.2570000000000001
2037,BIO,0.3670000000000002
2038,BIO,0.4770000000000002
2039,BIO,0.5720000000000003
2040,BIO,0.6820000000000002
2021,SOL,0.0559999999999997
2022,SOL,0.0559999999999997
2023,SOL,0.0559999999999997
2024,SOL,0.0559999999999997
2025,SOL,0.0559999999999997
2026,SOL,0.0559999999999997
2027,SOL,0.3565684139329223
2028,SOL,0.4560315997131739
2029,SOL,0.6449972206006263
2030,SOL,1.1002247292983278
2031,SOL,1.3202247292983276
2032,SOL,1.3202247292983276
2033,SOL,1.3864373786952906
2034,SOL,1.5106522458063705
2035,SOL,1.6413873953236977
2036,SOL,1.9307154913995552
2037,SOL,2.1207308098347997
2038,SOL,2.5016720991869192
2039,SOL,2.832885155893541
2040,SOL,3.277846296243213
2041,SOL,4.193860826654262
2042,SOL,4.635996738782075
2043,SOL,6.03927177777131
2046,COA,3.9837004791188413
2047,COA,3.9837004791188413
2048,COA,3.9837004791188413
2049,COA,3.9837004791188413
2050,COA,3.9837004791188413
2021,HYD,9.013300000000001
2022,HYD,9.889800000000003
2023,HYD,10.820300000000003
2024,HYD,11.355100000000006
2025,HYD,11.385100000000005
2026,HYD,11.485100000000005
2027,HYD,11.485100000000005
2028,HYD,11.485100000000005
2029,HYD,11.485100000000005
2030,HYD,11.559475970655981
2031,HYD,12.238100422547976
2032,HYD,12.621031887873144
2033,HYD,12.959191312642188
2034,HYD,13.327134867712237
2035,HYD,13.680108418693713
2036,HYD,13.93560750152457
2037,HYD,14.410146510727351
2038,HYD,14.793214053619822
2039,HYD,15.2190237786221
2040,HYD,15.553519538855532
2041,HYD,15.88566693245723
2042,HYD,16.19284217728564
2043,HYD,16.666815644464464
2044,HYD,17.245344778959808
2045,HYD,17.694135151295463
2046,HYD,18.62768848120811
2047,HYD,19.554946665789416
2048,HYD,20.210848752964772
2049,HYD,20.925518287620722
2050,HYD,20.93804341490817
2041,BIO,0.7720000000000004
2042,BIO,0.8820000000000003
2043,BIO,0.9920000000000004
2044,BIO,1.1020000000000003
2044,SOL,6.803924386691862
2045,SOL,8.29325090934633
2046,SOL,9.859562313319298
2047,SOL,11.080592040948469
2048,SOL,13.012689672470493
2049,SOL,15.005476661343327
2050,SOL,22.092439732509042
2039,WND,0.1835678039850538
2040,WND,0.3656549952856728
2041,WND,0.6564192916123192
2042,WND,0.7102395811965194
2043,WND,0.8221064751603679
2044,WND,1.0446115133516585
2045,WND,1.4283785247738114
2046,WND,1.853566885644256
2047,WND,2.4066688100810687
2048,WND,2.9830295980232284
2049,WND,3.5834257801264986
2050,WND,4.759084225718384
2045,BIO,1.1350000000000005
2046,BIO,1.1350000000000005
2047,BIO,1.1350000000000005
2048,BIO,1.1350000000000005
2049,BIO,1.1350000000000005
2050,BIO,1.1350000000000005
