YEAR,TECHNOLOGY:SubSector,VALUE
2021,EXPE,16.816456610393224
2022,EXPE,20.752083505782622
2023,EXPE,16.990470172793824
2024,EXPE,3.4520431304612007
2025,EXPE,2.7425101490504766
2026,EXPE,0.8615461592360291
2029,EXPE,2.616231746175545
2030,EXPE,16.62834346821431
2031,EXPE,35.661949005186244
2032,EXPE,51.886020058832734
2033,EXPE,57.04651064855172
2034,EXPE,60.86027318742859
2035,EXPE,69.22780335390945
2036,EXPE,70.8081673879649
2037,EXPE,71.4955351195089
2038,EXPE,73.1684004558672
2039,EXPE,78.36634757775353
2040,EXPE,85.67524515712029
2041,EXPE,85.65310873915526
2042,EXPE,88.22575070546226
2043,EXPE,94.78576425579034
2044,EXPE,96.21638770448246
2045,EXPE,97.0270897191968
2046,EXPE,104.42840568647145
2047,EXPE,105.65438923171189
2048,EXPE,107.8498963567449
2049,EXPE,116.26299776584983
2050,EXPE,122.94365407836244
2051,EXPE,125.87538436054277
2052,EXPE,125.19511231541898
2053,EXPE,124.4048995435152
2054,EXPE,123.54485855726865
2055,EXPE,116.88611313294668
