YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462
2022,PSG,0.7010715276689321
2023,PSG,0.7430863720575533
2024,PSG,0.7906637373025283
2025,PSG,0.8402266962192513
2026,PSG,1.0135139785492813
2027,PSG,0.825388806947054
2028,PSG,0.8901861129018996
2029,PSG,0.7395258948287518
2030,PSG,0.6373877544950279
2031,PSG,0.6646116319887503
2032,PSG,0.5997305587829214
2033,PSG,0.6242298504753985
2034,PSG,0.5737650702915932
2035,PSG,0.5834586611991724
2036,PSG,0.5501273423447319
2037,PSG,0.8923984675292199
2038,PSG,0.9613190927387185
2039,PSG,0.7078654413334946
2050,PSG,0.18800986229508154
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.8063686027697792
2025,FRT,1.8680577956945013
2026,FRT,1.8821915360098065
2027,FRT,1.896064966862214
2028,FRT,1.9069178603425558
2029,FRT,1.922892212460285
2030,FRT,1.9406337861835898
2031,FRT,1.959076269783961
2032,FRT,1.980118324402832
2033,FRT,2.0003183702052456
2034,FRT,1.9878231757059708
2035,FRT,2.009692530549299
2036,FRT,2.0333444041718285
2037,FRT,2.0570729094431295
2038,FRT,2.083252653177334
2039,FRT,2.043194717452276
2040,FRT,2.0038203336686937
2041,FRT,1.966579358700523
2042,FRT,1.9491776514085977
2043,FRT,1.93101743009626
2044,FRT,1.9166455715045279
2045,FRT,1.901199684644526
2046,FRT,1.8881605301216988
2047,FRT,1.8601711316189717
2048,FRT,1.8298453781919752
2049,FRT,1.8231263727115452
2050,FRT,1.8008052289577825
2051,FRT,1.7663741382986262
2052,FRT,1.5723266603479091
2053,FRT,1.3221815056434079
2054,FRT,1.1398194800895587
2055,FRT,0.9548754162693679
2040,PSG,0.1389539286885246
2041,PSG,0.142561506557377
2042,PSG,0.1464892839344262
2043,PSG,0.1507068214754098
2044,PSG,0.1552140118032786
2045,PSG,0.1600174098360655
2046,PSG,0.1650981121311475
2047,PSG,0.1704496957377049
2048,PSG,0.1760509173770491
2049,PSG,0.1819096636065573
2051,PSG,0.1936886950819672
2052,PSG,0.199641206557377
2053,PSG,0.2058507540983606
2054,PSG,0.2123062426229508
2055,PSG,0.2190169180327869
