YEAR,TECHNOLOGY:Type,VALUE
2021,GAS,7.938073772049693
2022,GAS,7.5651246
2023,GAS,6.724543320000001
2024,GAS,5.883962040000001
2025,GAS,5.043410460000001
2026,GAS,4.244889140000001
2027,GAS,3.4205527994285685
2028,GAS,2.621162367000001
2029,GAS,1.760899896
2030,GAS,0.8866624499999999
2021,DSL,33.67829772571461
2022,DSL,35.23287049904859
2023,DSL,36.895929482979085
2024,DSL,38.68028755706073
2025,DSL,40.1633680068727
2026,DSL,40.46382794702208
2027,DSL,40.42380960505084
2028,DSL,40.474793621013674
2029,DSL,40.56042241051978
2030,DSL,40.1944275541526
2031,DSL,39.69604806737264
2032,DSL,39.90618899355896
2033,DSL,39.68540048048676
2034,DSL,40.24625826994054
2035,DSL,40.77883458213585
2036,DSL,41.17714907442591
2037,DSL,40.856447138841915
2038,DSL,38.41671835908264
2039,DSL,35.60215624797212
2040,DSL,31.311995154439
2041,DSL,29.917470524533307
2042,DSL,28.901699167773916
2043,DSL,27.58259338293769
2044,DSL,26.62786105673506
2045,DSL,25.64469132258976
2046,DSL,24.728219035451524
2047,DSL,24.65364486976013
2048,DSL,23.974202956607733
2049,DSL,22.98252817648692
2050,DSL,22.011811539592536
2051,DSL,21.409042870397293
2052,DSL,18.528234642550277
2053,DSL,15.568554848516786
2054,DSL,12.59891632500001
2055,DSL,10.89715045000001
2041,SOE,0.1757865988276012
2042,SOE,0.3718477289867702
2043,SOE,0.5595886381770981
2044,SOE,0.7515959548076537
2045,SOE,0.9453786793785108
2046,SOE,1.1421111257167167
2047,SOE,1.217947150324293
2048,SOE,1.2978943423404508
2049,SOE,1.3776829949658915
2050,SOE,1.6725876375698978
2051,SOE,1.7643473132913905
2052,SOE,2.0172302509222244
2053,SOE,2.2806548910497364
2054,SOE,2.5428108808290157
2055,SOE,2.6063860103626935
2040,PEM,0.2089389504119483
2041,PEM,0.2089389504119483
2042,PEM,0.2089389504119484
2043,PEM,0.2089389504119483
2044,PEM,0.2089389504119483
2045,PEM,0.2089389504119483
2046,PEM,0.2089389504119483
2047,PEM,0.2089389504119484
2048,PEM,0.2089389504119483
2049,PEM,0.2089389504119484
2021,ETH,0.0801825633540372
2022,ETH,0.0764154
2023,ETH,0.06792468
2024,ETH,0.05943396
2025,ETH,0.05094354
2026,ETH,0.09993086
2027,ETH,0.1277384862857141
2028,ETH,0.135054633
2029,ETH,0.116392104
2030,ETH,0.0718915499999999
2021,BDL,0.3401848255122687
2022,BDL,0.3558875807984706
2023,BDL,0.3726861563937282
2024,BDL,0.3907099753238457
2025,BDL,0.4056905859280069
2026,BDL,0.9525773211683805
2027,BDL,1.5096028483213997
2028,BDL,2.085452037255173
2029,BDL,2.6809660868360607
2030,BDL,3.259007639525886
2031,BDL,3.830320427553501
2032,BDL,4.483342701167359
2033,BDL,5.156859949441782
2034,BDL,5.9077076359545755
2035,BDL,6.693615455274917
2036,BDL,7.49560396863072
2037,BDL,8.190908369971908
2038,BDL,8.432938176383995
2039,BDL,8.514518160915264
2040,BDL,8.123767004804069
2041,BDL,8.389149865394103
2042,BDL,8.730721623598368
2043,BDL,8.950642885853958
2044,BDL,9.258744141021085
2045,BDL,9.533211726230212
2046,BDL,9.808399729145576
2047,BDL,10.41555124654162
2048,BDL,10.821447198120474
2049,BDL,11.015294569795502
2050,BDL,11.1885075246496
2051,BDL,10.882122846642366
2052,BDL,9.417820625248025
2053,BDL,7.913428331749863
2054,BDL,6.403974059615388
2055,BDL,5.538973908974365
2024,,1.4433932475292375
2029,,4.1616001937811555
2030,,5.06213201225627
2031,,5.951874246040861
2032,,6.178025211610363
2033,,6.521235408972094
2034,,6.878425436940143
2035,,7.171652184443842
2036,,7.589904569891129
2037,,8.486652570686367
2038,,10.19693479546767
