YEAR,TECHNOLOGY:Type,VALUE
2021,DSLBDL,307.0021025641026
2022,DSLBDL,317.5483340189222
2023,DSLBDL,328.40094899218434
2024,DSLBDL,339.5397121897711
2025,DSLBDL,350.9883615795969
2026,DSLBDL,356.4837282051282
2027,DSLBDL,362.0580079575597
2028,DSLBDL,359.5642222222222
2029,DSLBDL,365.6909473684211
2030,DSLBDL,371.76131102362206
2031,DSLBDL,378.3130313315926
2032,DSLBDL,385.25303133159264
2033,DSLBDL,392.2630313315927
2034,DSLBDL,392.2630313315927
2035,DSLBDL,410.7157405183923
2036,DSLBDL,410.10563795428965
2037,DSLBDL,391.69829168671805
2038,DSLBDL,383.5599943780157
2039,DSLBDL,341.78223118042905
2040,DSLBDL,299.69458179060314
2041,DSLBDL,263.55921516507186
2042,DSLBDL,227.34593541264042
2043,DSLBDL,199.2007211479779
2044,DSLBDL,162.43499600177896
2045,DSLBDL,125.72463234657802
2046,DSLBDL,88.53391203860748
2047,DSLBDL,81.59391203860743
2048,DSLBDL,74.58391203860738
2049,DSLBDL,74.58391203860738
2050,DSLBDL,56.13120285180786
2051,DSLBDL,56.13120285180786
2052,DSLBDL,33.35431766455988
2023,ELC,0.0183500188828234
2024,ELC,0.0197000263215115
2025,ELC,0.0210499765395223
2026,ELC,0.0239986834681211
2027,ELC,0.0270232742960944
2028,ELC,0.0301307086436087
2029,ELC,0.0333272733416686
2030,ELC,0.036616127276909105
2031,ELC,0.0400097118844855
2032,ELC,0.043510923714898
2033,ELC,0.047125386739412405
2034,ELC,0.050858582845907004
2035,ELC,0.0547228971345569
2036,ELC,0.0587171201192642
2037,ELC,20.474597214657038
2038,ELC,34.625388722946724
2039,ELC,81.46661060550117
2040,ELC,129.00587018143804
2041,ELC,161.73277496950385
2042,ELC,204.56332812486593
2043,ELC,239.4427991061394
2044,ELC,283.6098284615251
2045,ELC,327.7879369380246
2046,ELC,372.6757233866604
2047,ELC,379.3229009652993
2048,ELC,396.7995977597234
2049,ELC,454.2372121361438
2050,ELC,490.13491000859636
2051,ELC,501.66792853916303
2052,ELC,513.4269118440151
2053,ELC,525.6118744884309
2054,ELC,538.0134912585345
2055,ELC,550.7853228326226
2037,H2,0.7153353174752535
2038,H2,2.790522450847301
2039,H2,5.962472591902742
2040,H2,9.220327190256613
2041,H2,11.480565149485244
2042,H2,13.735568272286617
2043,H2,16.01388736842104
2044,H2,18.134076300091508
2045,H2,20.379698474687487
2046,H2,22.444426357673215
2047,H2,22.444868626985613
2048,H2,22.44531172623386
2049,H2,22.445751591181025
2050,H2,24.363838914694384
2051,H2,24.364366187421663
2052,H2,23.651929130723286
2053,H2,23.240588984737887
2054,H2,22.766771127331705
2055,H2,22.255109931431097
2022,ELC,0.0140018997264851
2021,JET,0.01
2022,JET,0.0106666666666666
2023,JET,0.0113333333333333
2024,JET,0.0119999999999999
2025,JET,0.0126666666666666
2026,JET,0.0131606905710491
2027,JET,0.0136485890652557
2028,JET,0.0141326306543697
2029,JET,0.0143963254593175
2030,JET,0.0148714596949891
2031,JET,0.0153428819444444
2032,JET,0.0158084738434932
2033,JET,0.0162726098191214
2034,JET,0.0167310167310167
2035,JET,0.0157310167310167
2036,JET,0.0157310167310167
2037,JET,0.0157310167310167
2038,JET,0.0157310167310167
2039,JET,0.0157310167310167
2040,JET,0.0157310167310167
2041,JET,0.0157310167310167
2042,JET,0.0157310167310167
2043,JET,0.0157310167310167
2044,JET,0.0157310167310167
2045,JET,0.0157310167310167
2046,JET,0.0157310167310167
2047,JET,0.0157310167310167
2048,JET,0.0157310167310167
2049,JET,0.0157310167310167
2050,JET,0.0157310167310167
2051,JET,0.0157310167310167
2052,JET,0.0157310167310167
2053,JET,0.0157310167310167
2054,JET,0.01436435006435
2055,JET,0.0133976833976833
2035,H2,0.0014591542091542
2036,H2,0.0019126614299028
