YEAR,TECHNOLOGY:TraMode,VALUE
2021,CAR,0.44739130434782604
2022,CAR,0.4071809999999998
2023,CAR,0.4328498695652173
2024,CAR,0.46328465217391307
2025,CAR,0.42671800692574063
2026,CAR,0.5658256351698544
2027,CAR,0.3981682323576127
2028,CAR,0.433631726605159
2029,CAR,0.3058276232616939
2030,CAR,0.2254905696902653
2031,CAR,0.218863815142576
2032,CAR,0.1555365929203539
2033,CAR,0.1313588093322605
2034,CAR,0.0806561578171089
2035,CAR,0.0392695322376736
2037,CAR,0.1361798370444381
2038,CAR,0.1453466537573028
2039,CAR,0.0607274832627928
2041,CAR,-8.276401786133646e-17
2021,BUS,0.175739837398374
2022,BUS,0.1860470243902438
2023,BUS,0.1970894959349593
2024,BUS,0.2089268943089431
2025,BUS,0.2214472195121952
2026,BUS,0.2038912195121952
2027,BUS,0.1929610487804879
2028,BUS,0.1747490487804879
2029,BUS,0.1565370487804879
2030,BUS,0.1383250487804879
2031,BUS,0.1242548780487806
2032,BUS,0.1242548780487806
2033,BUS,0.1242548780487806
2034,BUS,0.1242548780487806
2035,BUS,0.1242548780487806
2036,BUS,0.1283967073170733
2037,BUS,0.0975970731707319
2038,BUS,0.0659034796747968
2039,BUS,0.0333297886178862
2021,LDV,1.1302564102564103
2022,LDV,1.1692307692307693
2023,LDV,1.2092267692307694
2024,LDV,1.2502524102564103
2025,LDV,1.2923036923076925
2026,LDV,1.3142831794871794
2027,LDV,1.336796
2028,LDV,1.3267760000000002
2029,LDV,1.351576
2030,LDV,1.375806
2031,LDV,1.402316
2032,LDV,1.4300760000000003
2033,LDV,1.4581160000000002
2034,LDV,1.4510496585365853
2035,LDV,1.4806496585365851
2036,LDV,1.510396
2037,LDV,1.4256248918742167
2038,LDV,1.4173670363744784
2039,LDV,1.2635613953488374
2040,LDV,1.108730113297555
2041,LDV,0.9739666261180682
2042,LDV,0.838673805605248
2043,LDV,0.7359098056052478
2044,LDV,0.5983298056052472
2045,LDV,0.4613158056052477
2046,LDV,0.3220258056052478
2047,LDV,0.2942658056052477
2048,LDV,0.2662258056052474
2049,LDV,0.1404942130462063
2021,HDV,0.4882352941176472
2022,HDV,0.5048128342245988
2023,HDV,0.5218851336898394
2024,HDV,0.5395321925133688
2025,HDV,0.558248770053476
2026,HDV,0.5582586666666669
2027,HDV,0.5571801591511935
2028,HDV,0.5852746666666665
2029,HDV,0.583735894736842
2030,HDV,0.5840060314960628
2031,HDV,0.5824146579634466
2032,HDV,0.5819861250000001
2033,HDV,0.5801618860103628
2034,HDV,0.5794006356589148
2035,HDV,0.5771394910025704
2036,HDV,0.5763326153846156
2037,HDV,0.5426679311490016
2038,HDV,0.4734180167104989
2039,HDV,0.4035646049457931
2040,HDV,0.3325881985286806
2041,HDV,0.2946468455174411
2042,HDV,0.2420652037844617
2043,HDV,0.188072489961886
2044,HDV,0.1359165367455117
2045,HDV,0.0818655363310897
2046,HDV,0.0297646895557356
2047,HDV,0.0240591528531877
2048,HDV,0.0162422785172461
2049,HDV,0.0089065193725125
2021,,0.002207192
2022,,0.002332634085
2023,,0.0024580761699999
2024,,0.002583542062
2025,,0.002708984147
2026,,0.0027604940773187
2027,,0.0028141932418783
2028,,0.0028704160583596
2029,,0.0029126960387244
2030,,0.002974322113732
2031,,0.0030387575205312
2032,,0.0031061201701621
2033,,0.0030744469256201
2034,,0.0030425742220913
2035,,0.0028965017122458
2036,,0.0028286427024002
2037,,0.0027607836925546
2038,,0.0026929246827091
2039,,0.0026250656728635
2040,,0.002484595313018
2041,,0.0024893476531724
2042,,0.0024940999933268
2043,,0.0024988523334813
2044,,0.0025036046736357
2045,,0.0025083570137902
2046,,0.0025131093539446
2047,,0.002517861694099
2048,,0.0025226140342535
2049,,0.0025273663744079
